Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
21,26,32,37,41,46,45,40,35,36,30,31,28,29,24,19,18,13,12,11,6,1,7,5,10,15,16,17,22,27,33,38,43,47,42,48,49,44,39,34,9,4,3,8,25,20,23,14,2,0
27,32,31,25,26,15,20,21,17,18,23,29,24,28,33,43,38,39,44,48,49,34,37,36,41,46,40,35,30,22,16,11,12,7,6,10,5,0,1,2,3,4,9,8,13,14,19,42,47,45
11,6,2,7,8,13,14,12,17,16,25,26,31,30,45,40,41,47,43,44,38,34,29,19,18,23,27,28,33,32,37,42,48,49,36,35,21,20,15,10,5,0,1,4,9,3,24,39,46,22
3,4,9,14,19,24,23,22,21,20,25,26,10,5,16,11,12,7,6,1,0,2,8,13,18,17,27,31,36,41,42,37,38,32,33,28,34,29,39,44,43,49,48,47,46,45,40,35,30,15
23,18,24,7,6,12,16,21,22,17,11,10,15,20,25,31,36,32,37,42,41,40,45,46,47,48,43,38,33,28,27,26,30,35,13,14,19,9,8,4,3,2,1,0,5,29,34,39,44,49
18,19,14,9,4,8,7,12,13,17,22,27,32,31,26,21,16,11,5,0,1,6,2,3,24,23,28,29,34,33,37,42,43,44,49,48,47,46,45,40,35,36,30,25,20,15,10,38,39,41
7,8,9,14,13,12,17,21,16,37,31,32,27,28,33,38,34,39,44,49,48,47,42,43,36,35,40,46,41,45,25,26,22,23,18,19,24,29,20,15,11,6,1,0,5,10,2,3,4,30
2,5,0,1,6,7,12,17,16,22,23,24,10,15,20,21,28,29,34,33,27,26,32,31,36,37,42,47,48,43,44,49,39,38,41,46,45,40,35,30,25,18,19,13,14,8,9,4,3,11
31,32,33,28,27,21,15,16,11,4,9,14,19,24,23,22,6,7,8,13,12,17,18,44,49,48,43,38,37,42,36,41,46,45,40,35,30,25,20,10,5,0,1,2,3,26,29,34,39,47
30,25,26,27,33,32,37,38,39,44,43,49,48,47,46,41,40,36,35,31,28,29,34,23,18,19,14,13,8,2,3,9,7,12,11,6,1,0,5,10,15,16,21,20,22,17,4,24,42,45
45,40,35,30,26,27,29,34,33,32,31,36,37,38,42,47,48,49,43,44,39,28,23,24,19,3,4,9,13,8,2,1,0,5,6,7,12,11,10,15,16,17,18,14,20,25,21,22,41,46
39,44,43,49,48,47,42,41,46,45,40,35,30,31,36,37,32,26,27,28,23,22,16,15,20,25,21,17,18,14,9,4,8,2,3,1,5,10,11,12,7,6,0,33,38,34,29,24,19,13
30,35,31,45,46,41,37,36,32,27,28,23,29,24,19,14,13,18,12,17,16,22,20,10,6,5,0,1,2,3,4,9,8,7,11,15,21,26,25,33,34,39,38,43,48,49,44,42,47,40
43,38,33,34,39,44,48,49,47,46,41,45,40,35,36,37,42,21,26,31,30,25,20,15,16,22,28,24,18,23,17,12,13,8,4,9,14,19,3,2,7,6,1,0,5,10,11,27,32,29
37,35,36,41,40,45,46,42,47,48,49,44,39,38,34,33,32,27,22,20,21,26,18,11,6,12,10,5,1,2,4,3,7,8,13,17,16,15,0,9,14,24,29,28,23,19,25,30,31,43
42,47,46,45,30,26,31,33,28,34,29,24,19,13,12,11,6,5,0,1,2,16,15,20,25,21,22,23,18,17,32,38,37,36,35,40,41,48,43,44,39,49,27,8,3,4,9,14,7,10
3,4,9,14,12,17,22,21,20,16,11,6,7,1,2,8,13,19,24,23,28,27,26,36,37,32,33,38,39,34,29,44,43,42,41,46,47,48,49,31,30,35,40,45,25,15,10,5,0,18
48,44,46,41,15,16,11,12,10,27,26,21,22,23,24,19,18,17,34,29,28,38,33,39,42,36,40,31,30,35,47,43,37,32,25,20,6,1,0,3,2,7,8,13,4,9,14,5,49,45
30,25,35,36,40,45,46,41,47,48,49,44,43,38,37,42,32,21,16,11,12,17,22,26,31,27,28,33,18,24,19,14,13,7,8,9,4,3,2,1,0,5,6,10,15,20,23,34,29,39
25,30,26,27,32,31,36,35,43,48,49,44,39,34,33,38,37,42,41,46,45,40,47,23,18,24,29,28,22,17,16,21,20,15,10,5,6,11,12,13,8,3,4,9,14,19,7,2,0,1
29,34,39,38,43,44,49,48,47,46,41,36,35,30,25,26,31,32,37,42,40,45,33,28,27,21,22,17,16,12,11,6,1,0,5,10,15,20,7,13,18,19,24,23,3,4,9,2,8,14
22,26,30,31,37,42,43,48,47,46,40,45,28,33,38,39,34,29,24,23,27,32,17,16,21,20,15,10,11,6,2,1,0,5,12,7,8,14,13,9,4,3,18,19,49,44,41,36,35,25
20,25,30,35,41,46,47,42,37,43,48,39,34,29,32,33,28,27,26,21,23,24,19,22,16,15,10,11,6,2,7,8,9,13,12,18,17,14,4,3,1,0,5,38,36,31,40,45,44,49
24,23,28,27,22,17,41,40,45,46,47,42,48,43,44,38,32,31,25,30,26,20,21,16,15,10,1,6,7,12,13,14,19,18,4,3,8,9,0,5,2,11,29,34,33,39,49,35,36,37
27,28,29,34,39,38,32,33,37,42,41,36,35,30,26,21,16,15,10,11,17,18,13,14,12,7,8,3,4,19,24,23,22,20,25,47,46,45,40,31,43,44,49,48,1,6,0,2,5,9
