Map,Cluster,Algorithm,Run,Distance,Elevation,Turning
Map1,15,NSGAII,4,2432.796616462293,0.582377245085242,104.2078310639855
Map1,1,NSGAII,5,1918.902787650234,0.3811781233790743,83.39718899789871
Map1,2,NSGAII,5,1822.5601843970612,0.28703345769088706,71.59848770616124
Map1,3,NSGAII,5,2168.907119364269,0.47494966415982987,93.75891660429413
Map1,4,NSGAII,5,2774.3494515096977,0.7077342135578704,84.93983793790491
Map1,5,NSGAII,5,2020.354453281857,0.33488127626986675,76.8784025623769
Map1,6,NSGAII,5,2429.921524261819,0.352783753617647,92.28803497402008
Map1,7,NSGAII,5,1715.6479706759994,0.3070754731189549,81.9229613427139
Map1,8,NSGAII,5,1363.4583668885832,0.43865067389344325,93.49884533266417
Map1,9,NSGAII,5,1845.337887798434,0.8967698626257015,105.10842956017733
Map1,10,NSGAII,5,1444.719619147203,0.9369654400064036,78.02940020768487
Map1,11,NSGAII,5,2597.4269447712527,0.375985539048866,93.39579934878914
Map1,12,NSGAII,5,2395.5644803190994,0.5201162498983525,86.27682468278125
Map1,13,NSGAII,5,2798.1603908650445,0.5651806289074592,98.09288249522756
Map1,14,NSGAII,5,2039.2925587308437,0.3663971014432086,81.66045238116871
Map1,15,NSGAII,5,2573.3225140415816,0.6345816471035253,94.26662422580993
Map1,1,NSGAII,6,2060.1348361985924,0.43494896113684867,82.51170945656678
Map1,2,NSGAII,6,2012.677439591786,0.3259528809060601,92.83144000362832
Map1,3,NSGAII,6,2202.3534193609153,0.4649768575951434,96.63066103406909
Map1,4,NSGAII,6,2302.837965990403,0.6443180696014323,90.07064959767034
Map1,5,NSGAII,6,1634.6262161415532,0.30295210971507025,77.82583831480692
Map1,6,NSGAII,6,2454.397388180031,0.4576228636007116,90.4179522602046
Map1,7,NSGAII,6,1724.6988136040572,0.3168517377793467,83.23693737454767
Map1,8,NSGAII,6,1638.6329270608,0.533203975143282,88.89579763639816
Map1,9,NSGAII,6,2048.743693523567,1.2365913652746112,78.19680820432109
Map1,10,NSGAII,6,1337.1785820050031,0.6700105987873073,80.58276401665218
Map1,11,NSGAII,6,2536.3106642235653,0.33156934953031936,104.23557994208134
Map1,12,NSGAII,6,2454.717248548744,0.4552155570524956,84.98757127158964
Map1,13,NSGAII,6,2792.859086227756,0.6403605708791424,101.9246793839773
Map1,14,NSGAII,6,2015.9714128880003,0.30883241405335227,92.10968671058428
Map1,15,NSGAII,6,2468.5927345009013,0.669347352654901,96.76927141323856
Map1,1,NSGAII,7,1838.9156861825652,0.426676143439769,79.37252213833224
Map1,2,NSGAII,7,2011.0084804916387,0.4034864863540637,82.12091890515686
Map1,3,NSGAII,7,2179.5873900616602,0.4679853427235656,99.22013519314021
Map1,4,NSGAII,7,2375.6805113264368,0.48395656241433826,95.8660096648905
Map1,5,NSGAII,7,1963.633870411177,0.43947569221347216,82.18165442402936
Map1,6,NSGAII,7,2419.43719449929,0.4259378192192038,80.54152008482544
Map1,7,NSGAII,7,1576.573328099882,0.3362435598625151,74.76297718810741
